ProfID,x,y,ph_0_30,k_0_30,soc_0_30,bd_0_30,cec_0_30,p_0_30,n_0_30,clay_0_30,sand_0_30,silt_0_30
6506,-58.396944,-38.162778,6.417976360196918,799.4104027525963,3.607080277033657,1.1072362079854516,20.150313512082292,NA,NA,22.979485399999998,43,34.0205146
6510,-58.061389,-38.082778,5.887850809602609,1021.8610131838174,4.342488869248163,1.0180698944719524,31.87480264256475,NA,NA,24.106376599999997,43,32.8936234
6511,-58.059167,-38.081944,5.703991900670276,787.0111102733131,3.3847872848570417,1.1380556677688702,28.51477470363026,NA,NA,21.34188025,46,32.65811975
6512,-58.316111,-38.311944,5.669718924525517,605.4371794987761,3.4024427960485837,1.1293479769487584,22.449328167921696,NA,NA,29.960303399999997,38,32.0396966
6513,-58.45,-38.323333,6.709521579625608,422.1369188079439,1.6895337589575992,1.3847919336533168,16.258050361323544,NA,NA,34.934290579999995,35,30.06570942
6516,-58.446944,-38.232778,6.087292744410019,1052.6782115022395,3.5199180538644708,1.107988546370423,23.90523912640253,NA,NA,26.600017709999996,42,31.399982290000004
6518,-58.1075,-38.217778,6.8023747340264675,944.2626367423146,2.169861390078586,1.3143640958313474,17.568655589405502,NA,NA,24.38963975,43,32.61036025
6519,-57.761111,-38.151667,5.419463269721229,1110.9593053694407,3.362287591287596,1.1330082837219313,NA,NA,NA,26.88782508,41,32.11217492
6520,-57.878611,-38.278611,6.916635619820591,690.2057758988265,1.1660544255223184,1.4924411850117225,27.291219777339794,NA,NA,31.994580980000002,36,32.00541902
6523,-58.385278,-38.370278,5.737667490488921,757.6961456607021,2.855039009642119,1.2075979092365305,25.355032803611717,NA,NA,31.60317079,37,31.39682921
6525,-58.498056,-38.443333,5.704157632208223,1126.7458301607444,4.187555029184273,1.038948114520358,25.44718358293373,NA,NA,34.806120320000005,34,31.19387968
6526,-58.400833,-38.483611,7.976323029915038,443.2519399311866,1.5309036972113534,1.410891776541996,17.938509720130984,NA,NA,33.23727521,35,31.76272479
6534,-57.6438,-37.865524,9.32487193485605,685.0083940790475,1.4380739424146374,1.4486903521127072,15.337728592096807,NA,NA,38.75286029,29,32.24713971
6536,-57.550411,-37.894568,6.398068907327519,758.1440101894023,3.442097046458889,1.1305711716547029,26.720259010791946,NA,NA,24.93481189,39,36.06518811
6537,-57.550501,-37.898232,6.1664622740165145,547.4578062517116,2.6597725691260656,1.2214922683315892,22.93329780073441,NA,NA,25.84249374,38,36.157506260000005
6539,-57.641456,-37.890898,6.358795699361356,686.805620621134,2.554158210211959,1.256069159058389,23.007916517862572,NA,NA,39.497625420000006,29,31.502374579999998
6541,-57.642182,-37.932979,6.659915190318506,549.0734341974668,3.4289613491641067,1.1198438926005354,25.687367661263394,NA,NA,25.5044625,42,32.4955375
6545,-57.843414,-37.884461,9.459470696765825,351.864,2.6431235337278385,1.223543883444256,20.9,NA,NA,26.06285774,40,33.93714226
6548,-57.843081,-37.883816,5.794427966546234,939.6853726277963,3.7130158442297603,1.095250686402754,26.32327885574731,NA,NA,22.54145787,44,33.45854213
6557,-57.960558,-37.783807,6.481089501587216,1001.0922538688841,3.244466758402356,1.1473099132510367,19.8867632177076,NA,NA,28.54488149,39,32.45511851
6558,-57.832593,-37.819045,6.221112757923834,652.9042956702524,1.9059248708133687,1.386322734659936,12.86617267548075,NA,NA,26.76674627,39,34.23325373
6559,-57.92249,-37.725146,6.717465521228378,664.1113877813809,3.049377463020231,1.1862655935533664,21.822050242027984,NA,NA,31.112422459999998,35,33.88757754
6562,-57.943062,-37.795888,6.365191268453836,816.8397053494049,3.8474432937973866,1.0838362434877895,24.490106296394618,NA,NA,23.67890598,44,32.32109402
6564,-58.03998,-37.865456,6.680808017540398,278.02525516917285,4.312451673685248,1.0235880124827135,37.37186756817804,NA,NA,20.33591888,46,33.66408112
6565,-57.951064,-37.698311,9.490648656336198,831.4686317697573,1.7206842791044976,1.4000951025584938,20.762144221702655,NA,NA,26.477687780000004,40,33.522312219999996
6567,-58.195908,-37.927889,6.486346591084674,3746.864210543646,3.581117583670942,1.1217632924764505,22.970656067532367,NA,NA,24.33780441,43,32.662195589999996
6569,-58.222572,-37.869889,6.450178159621474,605.5926172536784,3.077260367932809,1.164823381279176,28.936127500469116,NA,NA,26.273692190000002,41,32.726307809999994
6571,-58.206973,-37.892506,6.337137147375898,878.507517183074,3.460997366679751,1.115881105658617,24.012561474036787,NA,NA,22.94577465,44,33.05422535
